split,case_id,ficha,p1,p2,p3,p4,p5,alto_impacto,acotado,reversible,escala_masiva,naturaleza_restrictiva,decision_financiera,irreversible_sin_intervencion,exposicion_regulatoria,profiling,clasificacion,razonamiento
train,VAR-FG-A08,"Nombre de la iniciativa: VAR-FG-A08
Tipo de intent: Negocio
Declaracion del intent: Chatbot que propone soluciones estandar pre-aprobadas a reclamos; escala casos complejos a humano.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes que interactuan; propone compensaciones. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Defensa del Consumidor y ENACOM; escalada obligatoria.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,No,si,No,No,No,No,No,No,No,No,No,No,Amarillo,"Amarillo: interaccion con clientes en reclamos, limitada a respuestas pre-aprobadas y con escalada a humano."
val,VAR-FG-A09,"Nombre de la iniciativa: VAR-FG-A09
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que resume documentos internos usando un LLM externo por homologar; el autor valida.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El LLM externo sera homologado.
Restricciones explicitas: Revision previa.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",si,si,si,No,No,No,No,No,No,No,No,No,No,No,Amarillo,
val,VAR-FG-A10,"Nombre de la iniciativa: VAR-FG-A10
Tipo de intent: Negocio
Declaracion del intent: Recomendador de productos que el representante presenta al cliente; el representante decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes via representante. Criticidad media.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Cumplimiento Ley 25.326; el representante decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,No,si,No,No,No,No,No,No,No,No,No,No,Amarillo,
val,VAR-FG-A11,"Nombre de la iniciativa: VAR-FG-A11
Tipo de intent: Operativo
Declaracion del intent: Generador de contenido para el blog publico de la empresa; el responsable aprueba.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Audiencia externa. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Defensa del consumidor; revision previa.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",si,si,No,si,No,No,No,No,No,No,No,No,No,No,Amarillo,
val,VAR-FG-A12,"Nombre de la iniciativa: VAR-FG-A12
Tipo de intent: Negocio
Declaracion del intent: Analizador de cumplimiento de contratos de clientes; el equipo legal valida.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Condiciona acciones sobre clientes. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Confidencialidad; el abogado valida.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,No,si,No,No,No,No,No,No,No,No,No,No,Amarillo,
train,VAR-FG-R01,"Nombre de la iniciativa: VAR-FG-R01
Tipo de intent: Negocio
Declaracion del intent: Chatbot que accede a datos del cliente y responde en tiempo real con un LLM externo por homologar; escala a humano.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes que interactuan; las respuestas influyen en sus decisiones. Criticidad alta.
Supuesto de riesgo inicial: El LLM externo sera homologado antes del lanzamiento.
Restricciones explicitas: Cumplimiento Ley 25.326; evaluacion de seguridad del proveedor pendiente.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,si,si,No,No,No,No,No,No,No,No,No,No,Rojo,"Rojo: datos personales, influye en decisiones del cliente y usa un LLM externo aun por homologar; mitigado por escalada a humano."
train,VAR-FG-R02,"Nombre de la iniciativa: VAR-FG-R02
Tipo de intent: Negocio
Declaracion del intent: Scoring crediticio con API externa por homologar; el analista registra la decision.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes solicitantes; el score determina el acceso. Criticidad muy alta.
Supuesto de riesgo inicial: La API externa sera homologada antes de produccion.
Restricciones explicitas: Cumplimiento BCRA y Ley 25.326; prohibido sesgo discriminatorio.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,si,si,No,No,No,No,No,No,No,No,No,No,Rojo,Rojo: condiciona el acceso a credito con una API externa por homologar; el analista registra la decision.
train,VAR-FG-R03,"Nombre de la iniciativa: VAR-FG-R03
Tipo de intent: Negocio
Declaracion del intent: Asistente de diagnostico que sugiere al medico con un modelo externo por homologar; el medico decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Pacientes; el sistema influye en el diagnostico. Criticidad muy alta.
Supuesto de riesgo inicial: Modelo externo por homologar.
Restricciones explicitas: Datos de salud; cumplimiento regulatorio; el medico decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,si,si,No,No,No,No,No,No,No,No,No,No,Rojo,Rojo: influye en un diagnostico medico con un modelo externo por homologar; el medico decide.
train,VAR-FG-R04,"Nombre de la iniciativa: VAR-FG-R04
Tipo de intent: Negocio
Declaracion del intent: Agente de reclamos que aplica automaticamente compensaciones acotadas al catalogo aprobado por policy; escala a un agente humano solo si el reclamo no encaja en el catalogo.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes con reclamos resueltos dentro del catalogo aprobado. Criticidad alta.
Supuesto de riesgo inicial: Accion autonoma acotada a un catalogo de resoluciones predefinido y aprobado.
Restricciones explicitas: Cumplimiento Defensa del Consumidor; resoluciones limitadas al catalogo.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,No,si,si,No,si,si,No,No,si,No,No,No,Rojo,"Rojo: resuelve reclamos de forma autonoma sin revision por caso, pero acotado a un catalogo de compensaciones aprobado; fuera del catalogo escala a humano."
train,VAR-FG-R05,"Nombre de la iniciativa: VAR-FG-R05
Tipo de intent: Negocio
Declaracion del intent: Motor de recomendacion de inversiones que asesora al cliente via asesor, con LLM externo por homologar.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes; influye en decisiones financieras. Criticidad muy alta.
Supuesto de riesgo inicial: LLM externo por homologar.
Restricciones explicitas: Cumplimiento CNV y Ley 25.326; el asesor decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,si,si,No,No,No,No,No,No,No,No,No,No,Rojo,Rojo: influye en decisiones financieras del cliente con un LLM externo por homologar; el asesor decide.
train,VAR-FG-R06,"Nombre de la iniciativa: VAR-FG-R06
Tipo de intent: Negocio
Declaracion del intent: Chatbot legal que orienta al cliente con un modelo externo por homologar; el abogado revisa.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes; influye en decisiones legales. Criticidad alta.
Supuesto de riesgo inicial: Modelo externo por homologar.
Restricciones explicitas: Secreto profesional; el abogado revisa.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,si,si,No,No,No,No,No,No,No,No,No,No,Rojo,Rojo: influye en decisiones legales del cliente con un modelo externo por homologar; el abogado revisa.
train,VAR-FG-R07,"Nombre de la iniciativa: VAR-FG-R07
Tipo de intent: Negocio
Declaracion del intent: Sistema que ajusta automaticamente el limite de credito de clientes dentro de bandas de politica vigente, sin discrecionalidad fuera de ellas; log mensual revisable por el equipo de credito dentro de las 48 horas.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes pospago cuyos limites se ajustan dentro de bandas aprobadas. Criticidad alta.
Supuesto de riesgo inicial: Ajuste autonomo acotado a bandas predefinidas, con revision sistematica del log dentro de 48hs.
Restricciones explicitas: Cumplimiento BCRA; ajuste dentro de parametros de politica.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,No,si,si,No,si,si,No,No,si,No,No,No,Rojo,"Rojo: ajusta limites de credito de forma autonoma sin revision por caso, pero acotado a bandas de politica con revision sistematica del log dentro de 48hs y reversible; el moderador de escalada lo mantiene en Rojo."
val,VAR-FG-R08,"Nombre de la iniciativa: VAR-FG-R08
Tipo de intent: Negocio
Declaracion del intent: Chatbot de autoatencion con datos del cliente y LLM externo por homologar; escala a humano.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes; influye en decisiones sobre su plan. Criticidad alta.
Supuesto de riesgo inicial: LLM externo por homologar.
Restricciones explicitas: Cumplimiento Ley 25.326; seguridad del proveedor pendiente.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,si,si,No,No,No,No,No,No,No,No,No,No,Rojo,
val,VAR-FG-R09,"Nombre de la iniciativa: VAR-FG-R09
Tipo de intent: Negocio
Declaracion del intent: Evaluador de siniestros que recomienda al liquidador con proveedor externo por homologar; el liquidador decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes; condiciona la cobertura. Criticidad alta.
Supuesto de riesgo inicial: Proveedor externo por homologar.
Restricciones explicitas: Cumplimiento regulatorio; el liquidador decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,si,si,No,No,No,No,No,No,No,No,No,No,Rojo,
val,VAR-FG-R10,"Nombre de la iniciativa: VAR-FG-R10
Tipo de intent: Negocio
Declaracion del intent: Asistente de cobranzas que define la estrategia hacia el cliente con LLM externo por homologar; el gestor decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes con deuda; influye en la gestion. Criticidad alta.
Supuesto de riesgo inicial: LLM externo por homologar.
Restricciones explicitas: Cumplimiento Defensa del Consumidor; el gestor decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,si,si,No,No,No,No,No,No,No,No,No,No,Rojo,
val,VAR-FG-R11,"Nombre de la iniciativa: VAR-FG-R11
Tipo de intent: Operativo
Declaracion del intent: Agente que ejecuta automaticamente el alta de un nuevo cliente en el CRM y facturacion al verificar los criterios de elegibilidad, sin intervencion del operador; confirma el alta al cliente por email.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Nuevos clientes que solicitan el alta del servicio. Criticidad alta.
Supuesto de riesgo inicial: Alta autonoma sin revision previa por caso, pero es una accion favorable solicitada por el propio cliente.
Restricciones explicitas: Cumplimiento Ley 25.326; alta dentro de los criterios de elegibilidad estandar.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,No,si,si,No,si,si,No,No,No,No,No,No,Rojo,
train,VAR-FG-N01,"Nombre de la iniciativa: VAR-FG-N01
Tipo de intent: Negocio
Declaracion del intent: Agente que ajusta automaticamente precios y descuentos de planes para mas del 10% de la base de clientes activos, segun parametros de mercado en tiempo real, sin bandas ni catalogo acotado.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Mas del 10% de la base de clientes activos. Criticidad muy alta.
Supuesto de riesgo inicial: Ajuste autonomo sin bandas ni catalogo predefinido, aplicado a escala sobre la base.
Restricciones explicitas: Cumplimiento regulatorio de comunicaciones comerciales y proteccion de datos.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,No,si,si,si,No,No,si,No,si,No,No,No,Negro,"Negro: ajusta precios y descuentos de forma autonoma sobre mas del 10% de la base de clientes, sin bandas ni catalogo acotado ni revision por caso; alto impacto por escala."
