split,case_id,ficha,p1,p2,p3,p4,p5,clasificacion,razonamiento
val,VAR-FG-V11,"Nombre de la iniciativa: VAR-FG-V11
Tipo de intent: Operativo
Declaracion del intent: Asistente que traduce documentacion interna no sensible; el autor revisa.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",,,,,,Verde,
val,VAR-FG-V12,"Nombre de la iniciativa: VAR-FG-V12
Tipo de intent: Operativo
Declaracion del intent: Tablero que resume indicadores operativos para gerentes; ninguna decision sobre personas depende del output.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Gerentes como consumidores. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",,,,,,Verde,
train,VAR-FG-A01,"Nombre de la iniciativa: VAR-FG-A01
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que resume actas internas usando un LLM externo que sera homologado; los participantes validan.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El LLM externo sera homologado antes del despliegue.
Restricciones explicitas: Revision previa; cumplimiento Ley 25.326.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",,,,,,Amarillo,"Amarillo: datos confidenciales y proveedor externo aun por homologar, mitigado por revision humana previa."
train,VAR-FG-A02,"Nombre de la iniciativa: VAR-FG-A02
Tipo de intent: Operativo
Declaracion del intent: Sistema que genera contenido para canales publicos; el responsable aprueba antes de publicar.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Canal de salida publico; un error afecta la imagen. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Normativa de defensa del consumidor sobre publicidad; revision previa.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",,,,,,Amarillo,"Amarillo: salida a un canal publico con riesgo reputacional, acotado por aprobacion previa del responsable."
train,VAR-FG-A03,"Nombre de la iniciativa: VAR-FG-A03
Tipo de intent: Negocio
Declaracion del intent: Recomendador de upgrade que el representante presenta; el representante decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes via representante; el sistema condiciona la oferta. Criticidad media.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Cumplimiento Ley 25.326 y Defensa del Consumidor; el representante decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Amarillo,"Amarillo: datos personales y condiciona la oferta al cliente, pero el representante decide."
train,VAR-FG-A04,"Nombre de la iniciativa: VAR-FG-A04
Tipo de intent: Operativo
Declaracion del intent: Analizador de clausulas de contratos de clientes; el abogado valida cada hallazgo.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: El analisis condiciona acciones legales sobre clientes. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Confidencialidad contractual; el abogado valida.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",,,,,,Amarillo,Amarillo: datos confidenciales que condicionan acciones legales sobre clientes; el abogado valida cada hallazgo.
train,VAR-FG-A05,"Nombre de la iniciativa: VAR-FG-A05
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Resumidor de reuniones con lista de participantes usando un LLM externo por homologar; validan los participantes.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El LLM externo sera homologado.
Restricciones explicitas: Revision previa; cumplimiento Ley 25.326.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Amarillo,"Amarillo: datos personales y proveedor externo por homologar, con validacion humana de los participantes."
train,VAR-FG-A06,"Nombre de la iniciativa: VAR-FG-A06
Tipo de intent: Negocio
Declaracion del intent: Agente que envia comunicaciones de bienvenida predefinidas al cliente; contenido aprobado.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes que reciben comunicaciones. Criticidad media.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Cumplimiento Ley 26.951 No Llame y Ley 25.326; plantillas aprobadas.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Amarillo,"Amarillo: contacto con clientes y datos personales, mitigado por plantillas de contenido aprobadas."
train,VAR-FG-A07,"Nombre de la iniciativa: VAR-FG-A07
Tipo de intent: Operativo
Declaracion del intent: Generador de comunicados para redes sociales corporativas; el responsable aprueba.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Audiencia externa publica; error afecta imagen. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Normativa de defensa del consumidor; revision previa.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",,,,,,Amarillo,"Amarillo: exposicion publica con riesgo de imagen, acotada por revision previa del responsable."
train,VAR-FG-A08,"Nombre de la iniciativa: VAR-FG-A08
Tipo de intent: Negocio
Declaracion del intent: Chatbot que propone soluciones estandar pre-aprobadas a reclamos; escala casos complejos a humano.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes que interactuan; propone compensaciones. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Defensa del Consumidor y ENACOM; escalada obligatoria.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Amarillo,"Amarillo: interaccion con clientes en reclamos, limitada a respuestas pre-aprobadas y con escalada a humano."
val,VAR-FG-A09,"Nombre de la iniciativa: VAR-FG-A09
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que resume documentos internos usando un LLM externo por homologar; el autor valida.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El LLM externo sera homologado.
Restricciones explicitas: Revision previa.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",,,,,,Amarillo,
val,VAR-FG-A10,"Nombre de la iniciativa: VAR-FG-A10
Tipo de intent: Negocio
Declaracion del intent: Recomendador de productos que el representante presenta al cliente; el representante decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes via representante. Criticidad media.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Cumplimiento Ley 25.326; el representante decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Amarillo,
val,VAR-FG-A11,"Nombre de la iniciativa: VAR-FG-A11
Tipo de intent: Operativo
Declaracion del intent: Generador de contenido para el blog publico de la empresa; el responsable aprueba.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Audiencia externa. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Defensa del consumidor; revision previa.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",,,,,,Amarillo,
val,VAR-FG-A12,"Nombre de la iniciativa: VAR-FG-A12
Tipo de intent: Negocio
Declaracion del intent: Analizador de cumplimiento de contratos de clientes; el equipo legal valida.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Condiciona acciones sobre clientes. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Confidencialidad; el abogado valida.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Amarillo,
train,VAR-FG-R01,"Nombre de la iniciativa: VAR-FG-R01
Tipo de intent: Negocio
Declaracion del intent: Chatbot que accede a datos del cliente y responde en tiempo real con un LLM externo por homologar; escala a humano.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes que interactuan; las respuestas influyen en sus decisiones. Criticidad alta.
Supuesto de riesgo inicial: El LLM externo sera homologado antes del lanzamiento.
Restricciones explicitas: Cumplimiento Ley 25.326; evaluacion de seguridad del proveedor pendiente.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,"Rojo: datos personales, influye en decisiones del cliente y usa un LLM externo aun por homologar; mitigado por escalada a humano."
train,VAR-FG-R02,"Nombre de la iniciativa: VAR-FG-R02
Tipo de intent: Negocio
Declaracion del intent: Scoring crediticio con API externa por homologar; el analista registra la decision.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes solicitantes; el score determina el acceso. Criticidad muy alta.
Supuesto de riesgo inicial: La API externa sera homologada antes de produccion.
Restricciones explicitas: Cumplimiento BCRA y Ley 25.326; prohibido sesgo discriminatorio.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,Rojo: condiciona el acceso a credito con una API externa por homologar; el analista registra la decision.
train,VAR-FG-R03,"Nombre de la iniciativa: VAR-FG-R03
Tipo de intent: Negocio
Declaracion del intent: Asistente de diagnostico que sugiere al medico con un modelo externo por homologar; el medico decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Pacientes; el sistema influye en el diagnostico. Criticidad muy alta.
Supuesto de riesgo inicial: Modelo externo por homologar.
Restricciones explicitas: Datos de salud; cumplimiento regulatorio; el medico decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,Rojo: influye en un diagnostico medico con un modelo externo por homologar; el medico decide.
train,VAR-FG-R04,"Nombre de la iniciativa: VAR-FG-R04
Tipo de intent: Negocio
Declaracion del intent: Agente de reclamos que aplica automaticamente compensaciones acotadas al catalogo aprobado por policy; escala a un agente humano solo si el reclamo no encaja en el catalogo.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes con reclamos resueltos dentro del catalogo aprobado. Criticidad alta.
Supuesto de riesgo inicial: Accion autonoma acotada a un catalogo de resoluciones predefinido y aprobado.
Restricciones explicitas: Cumplimiento Defensa del Consumidor; resoluciones limitadas al catalogo.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,"Rojo: resuelve reclamos de forma autonoma sin revision por caso, pero acotado a un catalogo de compensaciones aprobado; fuera del catalogo escala a humano."
train,VAR-FG-R05,"Nombre de la iniciativa: VAR-FG-R05
Tipo de intent: Negocio
Declaracion del intent: Motor de recomendacion de inversiones que asesora al cliente via asesor, con LLM externo por homologar.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes; influye en decisiones financieras. Criticidad muy alta.
Supuesto de riesgo inicial: LLM externo por homologar.
Restricciones explicitas: Cumplimiento CNV y Ley 25.326; el asesor decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,Rojo: influye en decisiones financieras del cliente con un LLM externo por homologar; el asesor decide.
train,VAR-FG-R06,"Nombre de la iniciativa: VAR-FG-R06
Tipo de intent: Negocio
Declaracion del intent: Chatbot legal que orienta al cliente con un modelo externo por homologar; el abogado revisa.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes; influye en decisiones legales. Criticidad alta.
Supuesto de riesgo inicial: Modelo externo por homologar.
Restricciones explicitas: Secreto profesional; el abogado revisa.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,Rojo: influye en decisiones legales del cliente con un modelo externo por homologar; el abogado revisa.
train,VAR-FG-R07,"Nombre de la iniciativa: VAR-FG-R07
Tipo de intent: Negocio
Declaracion del intent: Sistema que ajusta automaticamente el limite de credito de clientes dentro de bandas de politica vigente, sin discrecionalidad fuera de ellas; log mensual revisable por el equipo de credito dentro de las 48 horas.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes pospago cuyos limites se ajustan dentro de bandas aprobadas. Criticidad alta.
Supuesto de riesgo inicial: Ajuste autonomo acotado a bandas predefinidas, con revision sistematica del log dentro de 48hs.
Restricciones explicitas: Cumplimiento BCRA; ajuste dentro de parametros de politica.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,"Rojo: ajusta limites de credito de forma autonoma sin revision por caso, pero acotado a bandas de politica con revision sistematica del log dentro de 48hs y reversible; el moderador de escalada lo mantiene en Rojo."
val,VAR-FG-R08,"Nombre de la iniciativa: VAR-FG-R08
Tipo de intent: Negocio
Declaracion del intent: Chatbot de autoatencion con datos del cliente y LLM externo por homologar; escala a humano.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes; influye en decisiones sobre su plan. Criticidad alta.
Supuesto de riesgo inicial: LLM externo por homologar.
Restricciones explicitas: Cumplimiento Ley 25.326; seguridad del proveedor pendiente.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,
val,VAR-FG-R09,"Nombre de la iniciativa: VAR-FG-R09
Tipo de intent: Negocio
Declaracion del intent: Evaluador de siniestros que recomienda al liquidador con proveedor externo por homologar; el liquidador decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes; condiciona la cobertura. Criticidad alta.
Supuesto de riesgo inicial: Proveedor externo por homologar.
Restricciones explicitas: Cumplimiento regulatorio; el liquidador decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,
val,VAR-FG-R10,"Nombre de la iniciativa: VAR-FG-R10
Tipo de intent: Negocio
Declaracion del intent: Asistente de cobranzas que define la estrategia hacia el cliente con LLM externo por homologar; el gestor decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes con deuda; influye en la gestion. Criticidad alta.
Supuesto de riesgo inicial: LLM externo por homologar.
Restricciones explicitas: Cumplimiento Defensa del Consumidor; el gestor decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,
val,VAR-FG-R11,"Nombre de la iniciativa: VAR-FG-R11
Tipo de intent: Operativo
Declaracion del intent: Agente que ejecuta automaticamente el alta de un nuevo cliente en el CRM y facturacion al verificar los criterios de elegibilidad, sin intervencion del operador; confirma el alta al cliente por email.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Nuevos clientes que solicitan el alta del servicio. Criticidad alta.
Supuesto de riesgo inicial: Alta autonoma sin revision previa por caso, pero es una accion favorable solicitada por el propio cliente.
Restricciones explicitas: Cumplimiento Ley 25.326; alta dentro de los criterios de elegibilidad estandar.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Rojo,
train,VAR-FG-N01,"Nombre de la iniciativa: VAR-FG-N01
Tipo de intent: Negocio
Declaracion del intent: Agente que ajusta automaticamente precios y descuentos de planes para mas del 10% de la base de clientes activos, segun parametros de mercado en tiempo real, sin bandas ni catalogo acotado.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Mas del 10% de la base de clientes activos. Criticidad muy alta.
Supuesto de riesgo inicial: Ajuste autonomo sin bandas ni catalogo predefinido, aplicado a escala sobre la base.
Restricciones explicitas: Cumplimiento regulatorio de comunicaciones comerciales y proteccion de datos.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Negro,"Negro: ajusta precios y descuentos de forma autonoma sobre mas del 10% de la base de clientes, sin bandas ni catalogo acotado ni revision por caso; alto impacto por escala."
train,VAR-FG-N02,"Nombre de la iniciativa: VAR-FG-N02
Tipo de intent: Operativo
Declaracion del intent: Agente que ejecuta cortes de servicio a clientes de forma autonoma segun un score de riesgo, sin aprobacion ni revision sistematica posterior; el corte no es reversible automaticamente.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes cortados; perdida de acceso al servicio. Criticidad muy alta.
Supuesto de riesgo inicial: Corte de servicio (denegacion de acceso) autonomo, sin revision sistematica ni mecanismo de reversion.
Restricciones explicitas: Cumplimiento Ley de Defensa del Consumidor y ENACOM.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Negro,"Negro: corta el servicio (denegacion de acceso, criterio de naturaleza) de forma autonoma sin revision sistematica ni reversion -- P5=Si y alto impacto por naturaleza (criterio b)."
train,VAR-FG-N03,"Nombre de la iniciativa: VAR-FG-N03
Tipo de intent: Negocio
Declaracion del intent: Sistema que aprueba y ejecuta reintegros a clientes automaticamente sin revision por caso.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes con reintegros. Criticidad alta.
Supuesto de riesgo inicial: Ejecuta sin aprobacion previa por caso.
Restricciones explicitas: Cumplimiento Defensa del Consumidor.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Negro,"Negro: aprueba y ejecuta reintegros de forma autonoma, sin revision humana por caso."
train,VAR-FG-N04,"Nombre de la iniciativa: VAR-FG-N04
Tipo de intent: Operativo
Declaracion del intent: Agente que bloquea cuentas de clientes de forma autonoma ante senales de riesgo, sin revision previa.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes bloqueados. Criticidad muy alta.
Supuesto de riesgo inicial: Bloqueo autonomo sin revision por caso.
Restricciones explicitas: Cumplimiento BCRA.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",,,,,,Negro,"Negro: bloquea cuentas de clientes de forma autonoma ante senales de riesgo, sin revision previa."
